




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7709866 Released 2023-03-06
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	3010
GO biological process complete	Arabidopsis thaliana - REFLIST (27430)	upload_1 (2301)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
organic acid metabolic process (GO:0006082)	2166	280	181.70	+	1.54	3.54E-08
small molecule metabolic process (GO:0044281)	3097	399	259.80	+	1.54	7.57E-13
organonitrogen compound catabolic process (GO:1901565)	1176	151	98.65	+	1.53	4.73E-03
transport (GO:0006810)	2426	307	203.51	+	1.51	3.36E-08
establishment of localization (GO:0051234)	2465	310	206.78	+	1.50	4.67E-08
biosynthetic process (GO:0009058)	4893	610	410.46	+	1.49	1.96E-19
organonitrogen compound metabolic process (GO:1901564)	6318	771	529.99	+	1.45	2.54E-24
response to temperature stimulus (GO:0009266)	1321	161	110.81	+	1.45	3.23E-02
cellular localization (GO:0051641)	1282	156	107.54	+	1.45	4.85E-02
cellular component biogenesis (GO:0044085)	1923	234	161.31	+	1.45	2.93E-04
protein metabolic process (GO:0019538)	4604	558	386.21	+	1.44	8.71E-15
localization (GO:0051179)	2897	350	243.02	+	1.44	1.59E-07
nucleobase-containing compound metabolic process (GO:0006139)	3717	448	311.81	+	1.44	1.53E-10
RNA metabolic process (GO:0016070)	2883	347	241.84	+	1.43	2.91E-07
primary metabolic process (GO:0044238)	9962	1169	835.67	+	1.40	1.62E-38
heterocycle metabolic process (GO:0046483)	4390	509	368.26	+	1.38	6.80E-10
nitrogen compound metabolic process (GO:0006807)	9027	1044	757.24	+	1.38	4.09E-29
nucleic acid metabolic process (GO:0090304)	3333	379	279.59	+	1.36	2.09E-05
cellular aromatic compound metabolic process (GO:0006725)	4774	541	400.47	+	1.35	3.78E-09
organic cyclic compound metabolic process (GO:1901360)	4951	557	415.32	+	1.34	4.26E-09
cellular metabolic process (GO:0044237)	9201	1035	771.84	+	1.34	3.80E-24
cellular component organization or biogenesis (GO:0071840)	3605	404	302.41	+	1.34	2.50E-05
organic substance metabolic process (GO:0071704)	12071	1341	1012.59	+	1.32	3.61E-36
macromolecule metabolic process (GO:0043170)	8524	941	715.05	+	1.32	5.65E-18
metabolic process (GO:0008152)	12892	1408	1081.46	+	1.30	9.77E-36
cellular process (GO:0009987)	15187	1624	1273.98	+	1.27	1.84E-43
response to abiotic stimulus (GO:0009628)	4779	505	400.89	+	1.26	3.19E-04
response to chemical (GO:0042221)	5354	548	449.13	+	1.22	3.75E-03
response to stress (GO:0006950)	5761	588	483.27	+	1.22	1.64E-03
developmental process (GO:0032502)	6257	620	524.88	+	1.18	2.83E-02
response to stimulus (GO:0050896)	9805	945	822.50	+	1.15	1.24E-03
Unclassified (UNCLASSIFIED)	1135	66	95.21	-	.69	0.00E00
